Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
World,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,"Index, 2016=100",,,98.186,99.956,126.789,129.464,125.509,124.131,124.131,124.131,
World,"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices","Index, 2016=100",,,99.37,101.041,129.102,131.519,127.202,125.688,125.688,125.688,
World,"Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley","Index, 2016=100",,,109.881,119.128,166.962,173.772,165.271,157.353,157.353,157.353,
World,"Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,,163.258,185.513,255.729,278.523,263.873,251.16,251.16,251.16,
World,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",U.S. dollars,Units,,170.169,165.578,269.094,266.344,244.943,222.865,222.865,222.865,
World,"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",U.S. dollars,Units,,396.514,477.838,469.78,464.223,464.223,464.223,464.223,464.223,
World,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",U.S. dollars,Units,,110.435,104.626,168.416,180.17,180.17,180.17,180.17,180.17,
World,"Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices","Index, 2016=100",,,90.543,99.252,146.069,139.278,130.726,129.701,129.701,129.701,
World,"Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne",U.S. dollars,Units,,327.002,349.877,517.263,486.474,451.986,451.986,451.986,451.986,
World,"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne",U.S. dollars,Units,,334.561,351.126,425.421,392.551,364.626,352.08,352.08,352.08,
World,"Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne",U.S. dollars,Units,,645.324,690.008,"1,303.89","1,303.68","1,236.73","1,242.03","1,242.03","1,242.03",
World,"Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton",U.S. dollars,Units,,853.664,888.53,"1,257.74","1,325.09","1,325.09","1,325.09","1,325.09","1,325.09",
World,"Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne",U.S. dollars,Units,,523.951,666.057,"1,014.64",907.152,784.183,766.87,766.87,766.87,
World,"Sunflower Oil, US export price from Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,,883.511,"1,056.51","1,665.09","1,560.26","1,560.26","1,560.26","1,560.26","1,560.26",
World,"Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric tonne",U.S. dollars,Units,,"3,166.33","2,628.34","4,227.20","4,402.40","4,402.40","4,402.40","4,402.40","4,402.40",
World,"Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric tonne",U.S. dollars,Units,,"1,251.03","1,290.05","1,456.17","1,489.56","1,489.56","1,489.56","1,489.56","1,489.56",
World,"Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric tonne",U.S. dollars,Units,,"1,846.10","1,935.61","2,041.93","2,085.79","2,085.79","2,085.79","2,085.79","2,085.79",
World,"Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices","Index, 2016=100",,,111.869,102.76,138.472,145.985,144.789,144.789,144.789,144.789,
World,"Beef, Australian and New Zealand 85% lean fores, FOB U.S. import price, US cents per pound",U.S. cents,Units,,209.697,200.435,238.12,275.469,275.469,275.469,275.469,275.469,
World,"Lamb, frozen carcass Smithfield London, US cents per pound",U.S. cents,Units,,115.842,116.164,143.797,150.02,150.02,150.02,150.02,150.02,
World,"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound",U.S. cents,Units,,64.842,58.375,95.318,88.893,86.49,86.49,86.49,86.49,
World,"Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",U.S. cents,Units,,119.292,98.654,134.068,141.95,141.95,141.95,141.95,141.95,
World,Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices,"Index, 2016=100",,,95.043,85.617,92.718,94.961,91.332,91.591,91.591,91.591,
World,"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",U.S. dollars,Units,,6.921,6.1,6.956,7.212,6.806,6.835,6.835,6.835,
World,"Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",U.S. dollars,Units,,7.825,7.334,7.201,7.19,7.19,7.19,7.19,7.19,
World,"Commodity Sugar Index includes European, Free market, and U.S. Price Indices","Index, 2016=100",,,70.716,73.666,101.911,108.075,93.633,83.77,83.77,83.77,
World,"Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound",U.S. cents,Units,,12.35,12.884,18.109,19.298,16.545,14.557,14.557,14.557,
World,"Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound",U.S. cents,Units,,26.118,26.956,33.388,34.129,31.95,31.95,31.95,31.95,
World,"Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric tonne",U.S. dollars,Units,,"1,142.46","1,217.20","1,234.55","1,238.70","1,238.70","1,238.70","1,238.70","1,238.70",
World,"Oranges, miscellaneous oranges French import price, US$ per metric tonne",U.S. dollars,Units,,1.055,1.142,1.244,1.417,1.534,1.62,1.62,1.62,
World,"Commodity Beverage Price Index includes Coffee, Tea, and Cocoa","Index, 2016=100",,,84.185,87.13,99.45,105.172,105.492,105.73,105.73,105.73,
World,Commodity Coffee Price Index includes Other Mild Arabicas and Robusta,"Index, 2016=100",,,84.221,89.161,108.412,116.232,117.36,117.736,117.736,117.736,
World,"Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",U.S. cents,Units,,137.465,156.909,190.632,208.842,212.557,213.793,213.793,213.793,
World,"Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",U.S. cents,Units,,80.028,78.203,95.177,99.488,99.488,99.488,99.488,99.488,
World,"Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric tonne",U.S. dollars,Units,,"2,340.82","2,369.96","2,441.45","2,559.31","2,517.10","2,517.10","2,517.10","2,517.10",
World,"Tea, Mombasa, Kenya, Auction Price, US cents per kilogram",U.S. cents,Units,,268.276,253.933,236.222,225.41,225.41,225.41,225.41,225.41,
World,"Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices","Index, 2016=100",,,101.527,98.158,114.805,114.993,112.692,111.781,111.847,111.847,
World,Commodity Timber Index includes Hardwood and Softwood Price Indices,"Index, 2016=100",,,102.074,102.895,111.33,111.343,111.343,111.343,111.475,111.475,
World,Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices,"Index, 2016=100",,,95.69,96.952,101.412,100.857,100.857,100.857,100.857,100.857,
World,"Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter",U.S. dollars,Units,,273.103,278.991,273.26,269.95,269.95,269.95,269.95,269.95,
World,"Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter",U.S. dollars,Units,,695.888,702.657,754.583,752.37,752.37,752.37,752.37,752.37,
World,Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices,"Index, 2016=100",,,107.234,107.698,119.345,119.817,119.817,119.817,120.056,120.056,
World,"Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter",U.S. dollars,Units,,185.888,201.689,191.309,156.985,156.985,156.985,156.985,156.985,
World,"Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter",U.S. dollars,Units,,353.867,347.72,401.802,421.35,421.35,421.35,422.35,422.35,
World,"Cotton, Cotton Outlook `A Index`, Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound",U.S. cents,Units,,77.879,71.938,96.756,99.141,89.839,86.157,86.157,86.157,
World,Commodity Wool Index includes Coarse and Fine Wool Price Indices,"Index, 2016=100",,,132.626,86.599,102.037,103.516,103.516,103.516,103.516,103.516,
World,"Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram",U.S. cents,Units,,"1,427.54",976.102,"1,268.77","1,309.07","1,309.07","1,309.07","1,309.07","1,309.07",
World,"Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram",U.S. cents,Units,,"1,393.37",869.62,916.214,909.48,909.48,909.48,909.48,909.48,
World,"Rubber, No.1 Rubber Smoked Sheet, FOB Maylaysian/Singapore, US cents per pound",U.S. cents,Units,,74.836,79.898,95.673,91.448,91.448,91.448,91.448,91.448,
World,"Hides, Heavy native steers, over 53 pounds, wholesale dealer`s price, US cents per pound",U.S. cents,Units,,39.244,32.559,51.632,57.5,57.5,57.5,57.5,57.5,
World,"Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices","Index, 2016=100",,,135.113,139.845,209.297,195.624,194.928,193.905,193.069,192.85,
World,"Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric tonne",U.S. dollars,Units,,"6,010.15","6,174.56","9,119.10","9,060.46","9,025.50","8,965.08","8,872.04","8,833.75",
World,"Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric tonne",U.S. dollars,Units,,"1,794.49","1,704.10","2,396.98","2,540.47","2,496.22","2,446.64","2,420.38","2,414.01",
World,"Iron Ore, China import Iron Ore Fines 62% FE spot (CFR Tianjin port) US$ per metric ton",U.S. dollars,Units,,93.624,108.071,170.97,135,135,135,135,135,
World,"Tin, standard grade, LME spot price, US$ per metric tonne",U.S. dollars,Units,,"18,661.16","17,125.46","31,718.70","34,162.79","33,330.50","33,330.50","33,330.50","33,330.50",
World,"Nickel, melting grade, LME spot price, CIF European ports, US$ per metric tonne",U.S. dollars,Units,,"13,913.91","13,790.43","18,203.39","18,887.17","18,912.50","18,954.92","19,044.00","19,162.75",
World,"Zinc, high grade 98% pure, US$ per metric tonne",U.S. dollars,Units,,"2,550.41","2,266.77","2,906.31","2,977.02","2,924.67","2,851.88","2,827.75","2,827.75",
World,"Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric tonne",U.S. dollars,Units,,"1,996.51","1,824.93","2,200.51","2,247.00","2,211.83","2,187.00","2,177.00","2,177.00",
World,"Uranium, u3o8 restricted price, Nuexco exchange spot, US$ per pound",U.S. dollars,Units,,25.906,29.431,30.667,31.475,32.675,32.675,32.675,32.675,
Advanced economies,"Gross domestic product, constant prices",Percent change,,,1.739,-4.539,5.202,4.535,2.167,1.719,1.608,1.591,
Advanced economies,"Gross domestic product, constant prices",Percent change (market exchange rates),,,,,,,,,,,
Advanced economies,"Gross domestic product, current prices",U.S. dollars,Billions,,"51,955.58","50,668.22","56,086.68","60,273.87","63,292.88","66,068.01","68,842.55","71,613.14",
Advanced economies,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"58,067.93","56,025.06","61,048.32","65,563.53","68,572.30","71,337.57","74,056.93","76,792.09",
Advanced economies,"Gross domestic product, deflator","Index, 2000=100",,,122.269,124.017,127.192,129.786,131.964,134.314,136.762,139.247,
Advanced economies,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"51,979.24","49,439.82","51,905.92","54,117.51","55,147.02","55,953.78","56,717.56","57,488.39",
Advanced economies,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"54,173.02","52,147.37","56,721.44","60,765.91","63,395.30","65,788.83","68,135.50","70,492.59",
Advanced economies,Output gap,Percent of potential GDP,,,0.174,-3.488,-1.166,0.955,n/a,n/a,n/a,n/a,
Advanced economies,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,43.04,42.45,42.208,42.072,41.494,40.844,40.186,39.539,
Advanced economies,Investment,Percent of GDP,,,22.634,22.251,22.431,23.096,23.071,23.011,22.971,22.947,
Advanced economies,Gross national savings,Percent of GDP,,,23.41,23.04,23.556,24.04,24.023,24.02,24.048,24.068,
Advanced economies,"Inflation, average consumer prices",Percent change,,,1.396,0.684,2.756,2.334,1.913,1.969,1.974,1.939,
Advanced economies,"Inflation, end of period consumer prices",Percent change,,,1.539,0.523,3.493,1.863,1.968,1.967,1.955,1.909,
Advanced economies,Three-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,
Advanced economies,Trade volume of goods and services,Percent change,,,,,,,,,,,
Advanced economies,Volume of imports of goods and services,Percent change,,,2.021,-8.975,9.023,7.298,4.085,3.239,3.002,3.026,
Advanced economies,Volume of imports of goods,Percent change,,,0.613,-5.756,11.081,6.831,3.615,2.964,2.798,2.823,
Advanced economies,Volume of exports of goods and services,Percent change,,,1.172,-9.421,7.999,6.583,3.99,3.351,3.061,2.99,
Advanced economies,Volume of exports of goods,Percent change,,,0.537,-6.359,9.287,5.647,3.529,3.217,3.028,2.953,
Advanced economies,Terms of trade of goods and services,Percent change,,,0.204,0.81,0.854,0.193,0.369,0.271,0.311,0.348,
Advanced economies,Terms of trade of goods,Percent change,,,0.179,1.065,1.275,0.234,0.496,0.236,0.216,0.243,
Advanced economies,Export price of manufactures,"U.S. dollars; index, 2000=100",,,109.184,105.699,111.495,116.439,117.9,120.153,122.39,124.113,
Advanced economies,Export price of manufactures,U.S. dollars; annual percent change,,,0.465,-3.192,5.483,4.435,1.254,1.911,1.862,1.408,
Advanced economies,Unemployment rate,Percent of total labor force,,,4.826,6.595,5.778,5.035,4.713,4.633,4.62,4.666,
Advanced economies,Employment,"Index, 2000=100",,,111.721,108.623,110.162,112.568,n/a,n/a,n/a,n/a,
Advanced economies,General government revenue,Percent of GDP,,,35.671,35.928,35.978,36.494,36.632,36.509,36.401,36.419,
Advanced economies,General government total expenditure,Percent of GDP,,,38.625,46.721,44.778,41.297,40.215,39.67,39.476,39.444,
Advanced economies,General government net lending/borrowing,Percent of GDP,,,-2.954,-10.793,-8.8,-4.803,-3.582,-3.161,-3.076,-3.025,
Advanced economies,General government structural balance,Percent of potential GDP,,,-3.204,-7.42,-7.035,-5.268,n/a,n/a,n/a,n/a,
Advanced economies,General government primary net lending/borrowing,Percent of GDP,,,-1.547,-9.503,-7.834,-4.003,-2.753,-2.21,-1.988,-1.798,
Advanced economies,General government net debt,Percent of GDP,,,75.072,88.102,89.825,88.713,89.2,89.523,90.271,90.986,
Advanced economies,General government gross debt,Percent of GDP,,,103.768,122.689,121.595,119.265,119.264,119.057,118.834,118.56,
Advanced economies,Current account balance,U.S. dollars,Billions,,336.456,173.769,245.479,200.316,239.475,306.404,381.239,442.726,
Advanced economies,Current account balance,Percent of GDP,,,0.649,0.344,0.439,0.333,0.379,0.465,0.555,0.619,
Advanced economies,Imports of goods and services,U.S. dollars,Billions,,"15,276.83","13,722.86","16,365.57","18,039.10","18,986.10","19,909.40","20,818.10","21,734.75",
Advanced economies,Exports of goods and services,U.S. dollars,Billions,,"15,549.78","13,943.83","16,665.76","18,295.07","19,319.76","20,343.64","21,352.53","22,364.11",
Advanced economies,Financial account balance,U.S. dollars,Billions,,199.882,16.372,282.597,232.15,284.829,339.238,404.647,449.97,
Advanced economies,"Direct investment, net",U.S. dollars,Billions,,-86.57,47.363,7.385,103.27,39.45,44.226,39.534,48.173,
Advanced economies,"Portfolio investment, net",U.S. dollars,Billions,,136.079,286.375,-31.174,-38.902,-74.87,8.983,164.978,192.053,
Advanced economies,"Financial derivatives, net",U.S. dollars,Billions,,29.205,109.626,44.453,53.646,52.732,49.291,48.108,49.434,
Advanced economies,"Other investment, net",U.S. dollars,Billions,,54.924,-767.502,-90.781,-56.39,116.991,83.193,3.624,12.753,
Advanced economies,Change in reserves,U.S. dollars,Billions,,66.225,340.158,352.05,169.966,149.923,152.889,147.69,146.786,
Advanced economies,"External debt, total",U.S. dollars,Billions,,,,,,,,,,
Advanced economies,"External debt, total",Percent of GDP,,,,,,,,,,,
Advanced economies,"External debt, total",Percent of exports of goods and services,,,,,,,,,,,
Advanced economies,"External debt, total debt service",U.S. dollars,Billions,,,,,,,,,,
Advanced economies,"External debt, total debt service",Percent of GDP,,,,,,,,,,,
Advanced economies,"External debt, total debt service",Percent of exports of goods and services,,,,,,,,,,,
Advanced economies,"External debt, total debt service, interest",U.S. dollars,Billions,,,,,,,,,,
Advanced economies,"External debt, total debt service, interest",Percent of GDP,,,,,,,,,,,
Advanced economies,"External debt, total debt service, interest",Percent of exports of goods and services,,,,,,,,,,,
Advanced economies,"External debt, total debt service, amortization",U.S. dollars,Billions,,,,,,,,,,
Advanced economies,"External debt, total debt service, amortization",Percent of GDP,,,,,,,,,,,
Advanced economies,"External debt, total debt service, amortization",Percent of exports of goods and services,,,,,,,,,,,
Advanced economies,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,"Index, 2016=100",,,,,,,,,,,
Advanced economies,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,"Index, 2016=100",,,,,,,,,,,
Advanced economies,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,"Index, 2016=100",,,,,,,,,,,
Advanced economies,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices","Index, 2016=100",,,,,,,,,,,
Advanced economies,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","Index, 2016=100",,,,,,,,,,,
Advanced economies,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices","Index, 2016=100",,,,,,,,,,,
Advanced economies,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",U.S. dollars,Units,,,,,,,,,,
Advanced economies,Commodity Coal Price Index includes Australian and South African Coal,"Index, 2016=100",,,,,,,,,,,
Advanced economies,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Coal, South African export price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Advanced economies,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,"Index, 2016=100",,,,,,,,,,,
Advanced economies,"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices","Index, 2016=100",,,,,,,,,,,
Advanced economies,"Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley","Index, 2016=100",,,,,,,,,,,
Advanced economies,"Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Advanced economies,"Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices","Index, 2016=100",,,,,,,,,,,
